image,caption,style_tags,color_tags,occasion_tags,credit
https://images.unsplash.com/photo-1761555687814-15a0cea591ff?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5OTUzMzZ8MHwxfHNlYXJjaHwxMXx8bWluaW1hbCUyMG91dGZpdCUyMHN0cmVldCUyMHN0eWxlfGVufDF8MXx8fDE3ODM1ODM5MzJ8MA&ixlib=rb-4.1.0&q=80&w=1080,Woman wearing a white t-shirt with sweater tied around neck,minimal,beige,everyday,Juan Carlos Pavón on Unsplash (https://unsplash.com/photos/woman-wearing-a-white-t-shirt-with-sweater-tied-around-neck-uCSUINJ-Vy4)
https://images.unsplash.com/photo-1780488704744-0e64cd66239e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5OTUzMzZ8MHwxfHNlYXJjaHwxMnx8bWluaW1hbCUyMG91dGZpdCUyMHN0cmVldCUyMHN0eWxlfGVufDF8MXx8fDE3ODM1ODM5MzJ8MA&ixlib=rb-4.1.0&q=80&w=1080,Woman in white jacket and brown pants sitting on ledge.,minimal,brown,everyday,Rodrigo Rodrigues | WOLF Λ R T on Unsplash (https://unsplash.com/photos/woman-in-white-jacket-and-brown-pants-sitting-on-ledge-cg9ytiLQy2c)
https://images.unsplash.com/photo-1700557478863-bf8c59b973fe?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5OTUzMzZ8MHwxfHNlYXJjaHwxM3x8bWluaW1hbCUyMG91dGZpdCUyMHN0cmVldCUyMHN0eWxlfGVufDF8MXx8fDE3ODM1ODM5MzJ8MA&ixlib=rb-4.1.0&q=80&w=1080,a woman in a crop top and wide legged pants,minimal,beige,everyday,Virginia Marinova on Unsplash (https://unsplash.com/photos/a-woman-in-a-crop-top-and-wide-legged-pants-1Hghp8Y7zfU)
https://images.unsplash.com/photo-1781869644456-add13093b7e3?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5OTUzMzZ8MHwxfHNlYXJjaHwxNHx8bWluaW1hbCUyMG91dGZpdCUyMHN0cmVldCUyMHN0eWxlfGVufDF8MXx8fDE3ODM1ODM5MzJ8MA&ixlib=rb-4.1.0&q=80&w=1080,Red-haired woman posing casually between modern urban buildings.,minimal,cream,everyday,Maks Styazhkin on Unsplash (https://unsplash.com/photos/red-haired-woman-posing-casually-between-modern-urban-buildings-DJqnV89xbS4)
https://images.unsplash.com/photo-1760551600982-d8ecd70b709f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5OTUzMzZ8MHwxfHNlYXJjaHwxNXx8bWluaW1hbCUyMG91dGZpdCUyMHN0cmVldCUyMHN0eWxlfGVufDF8MXx8fDE3ODM1ODM5MzJ8MA&ixlib=rb-4.1.0&q=80&w=1080,Woman in white blazer and grey pants stands on steps.,minimal,green,everyday,amin naderloei on Unsplash (https://unsplash.com/photos/woman-in-white-blazer-and-grey-pants-stands-on-steps-zjVZxNW9CbE)
https://images.unsplash.com/photo-1700557479076-5c7d6440a41d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5OTUzMzZ8MHwxfHNlYXJjaHwxNnx8bWluaW1hbCUyMG91dGZpdCUyMHN0cmVldCUyMHN0eWxlfGVufDF8MXx8fDE3ODM1ODM5MzJ8MA&ixlib=rb-4.1.0&q=80&w=1080,a woman standing in front of a building,minimal,beige,everyday,Virginia Marinova on Unsplash (https://unsplash.com/photos/a-woman-standing-in-front-of-a-building-qx5dLbcBnv0)
https://images.unsplash.com/photo-1666932521131-d990bd263a2c?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5OTUzMzZ8MHwxfHNlYXJjaHwxN3x8bWluaW1hbCUyMG91dGZpdCUyMHN0cmVldCUyMHN0eWxlfGVufDF8MXx8fDE3ODM1ODM5MzJ8MA&ixlib=rb-4.1.0&q=80&w=1080,a man in a black coat,minimal,red,everyday,Dmitry Ganin on Unsplash (https://unsplash.com/photos/a-man-in-a-black-coat-EhWzbMPQcqQ)
https://images.unsplash.com/photo-1657697721354-f1d440fea28c?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5OTUzMzZ8MHwxfHNlYXJjaHwxOHx8bWluaW1hbCUyMG91dGZpdCUyMHN0cmVldCUyMHN0eWxlfGVufDF8MXx8fDE3ODM1ODM5MzJ8MA&ixlib=rb-4.1.0&q=80&w=1080,a person in a black dress,minimal,navy,everyday,Lisa Heeke on Unsplash (https://unsplash.com/photos/a-person-in-a-black-dress-sIKbmH-SM9Y)
https://images.unsplash.com/photo-1716662318478-cc821460f054?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5OTUzMzZ8MHwxfHNlYXJjaHwxOXx8bWluaW1hbCUyMG91dGZpdCUyMHN0cmVldCUyMHN0eWxlfGVufDF8MXx8fDE3ODM1ODM5MzJ8MA&ixlib=rb-4.1.0&q=80&w=1080,a woman standing next to a pole on a city street,minimal,navy,everyday,Seljan Salimova on Unsplash (https://unsplash.com/photos/a-woman-standing-next-to-a-pole-on-a-city-street-vo-B20hvJDM)
https://images.unsplash.com/photo-1761555687760-4ac26925f94c?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5OTUzMzZ8MHwxfHNlYXJjaHwyMHx8bWluaW1hbCUyMG91dGZpdCUyMHN0cmVldCUyMHN0eWxlfGVufDF8MXx8fDE3ODM1ODM5MzJ8MA&ixlib=rb-4.1.0&q=80&w=1080,Young woman wearing a white t-shirt and grey sweater.,minimal,beige,everyday,Juan Carlos Pavón on Unsplash (https://unsplash.com/photos/young-woman-wearing-a-white-t-shirt-and-grey-sweater-xHVPUi4fwYs)
https://images.unsplash.com/photo-1668343978900-0acf1d35eed6?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5OTUzMzZ8MHwxfHNlYXJjaHwyMXx8bWluaW1hbCUyMG91dGZpdCUyMHN0cmVldCUyMHN0eWxlfGVufDF8MXx8fDE3ODM1ODM5MzJ8MA&ixlib=rb-4.1.0&q=80&w=1080,a man walking down a sidewalk,minimal,navy,everyday,Umit on Unsplash (https://unsplash.com/photos/a-man-walking-down-a-sidewalk-9weBTYz5BpQ)
https://images.unsplash.com/photo-1754639347079-d8d8aa8c99f6?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5OTUzMzZ8MHwxfHNlYXJjaHwyMnx8bWluaW1hbCUyMG91dGZpdCUyMHN0cmVldCUyMHN0eWxlfGVufDF8MXx8fDE3ODM1ODM5MzJ8MA&ixlib=rb-4.1.0&q=80&w=1080,Woman in black attire and white sunglasses poses.,minimal,navy,everyday,Sina Malek on Unsplash (https://unsplash.com/photos/woman-in-black-attire-and-white-sunglasses-poses-aMPqIrcEgIE)
https://images.unsplash.com/photo-1700557477593-2d86947ff385?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5OTUzMzZ8MHwxfHNlYXJjaHwyM3x8bWluaW1hbCUyMG91dGZpdCUyMHN0cmVldCUyMHN0eWxlfGVufDF8MXx8fDE3ODM1ODM5MzJ8MA&ixlib=rb-4.1.0&q=80&w=1080,a woman walking down a street while holding a cell phone,minimal,grey,everyday,Virginia Marinova on Unsplash (https://unsplash.com/photos/a-woman-walking-down-a-street-while-holding-a-cell-phone-l8JfGCjXjzk)
https://images.unsplash.com/photo-1748791945352-f32169c9ee62?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5OTUzMzZ8MHwxfHNlYXJjaHwyNHx8bWluaW1hbCUyMG91dGZpdCUyMHN0cmVldCUyMHN0eWxlfGVufDF8MXx8fDE3ODM1ODM5MzJ8MA&ixlib=rb-4.1.0&q=80&w=1080,Woman stands on a city street in the sunshine.,minimal,cream,everyday,Ruben Mavarez on Unsplash (https://unsplash.com/photos/woman-stands-on-a-city-street-in-the-sunshine-ZlzsninG3QI)
https://images.unsplash.com/photo-1646654793829-222c56e60300?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5OTUzMzZ8MHwxfHNlYXJjaHwyNXx8bWluaW1hbCUyMG91dGZpdCUyMHN0cmVldCUyMHN0eWxlfGVufDF8MXx8fDE3ODM1ODM5MzJ8MA&ixlib=rb-4.1.0&q=80&w=1080,a person on the sidewalk talking on a cell phone,minimal,grey,everyday,Daniil Onischenko on Unsplash (https://unsplash.com/photos/a-person-on-the-sidewalk-talking-on-a-cell-phone--DfXw7nXQtI)
https://images.unsplash.com/photo-1763766274625-3b502e267f26?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5OTUzMzZ8MHwxfHNlYXJjaHwyNnx8bWluaW1hbCUyMG91dGZpdCUyMHN0cmVldCUyMHN0eWxlfGVufDF8MXx8fDE3ODM1ODM5MzJ8MA&ixlib=rb-4.1.0&q=80&w=1080,Woman with curly gray hair walking on street,minimal,grey,everyday,Reza Shahriari on Unsplash (https://unsplash.com/photos/woman-with-curly-gray-hair-walking-on-street-KpTugfEWVKI)
https://images.unsplash.com/photo-1703706376543-0da03ff38230?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5OTUzMzZ8MHwxfHNlYXJjaHwyN3x8bWluaW1hbCUyMG91dGZpdCUyMHN0cmVldCUyMHN0eWxlfGVufDF8MXx8fDE3ODM1ODM5MzJ8MA&ixlib=rb-4.1.0&q=80&w=1080,a woman sitting on top of a wooden bench,minimal,navy,everyday,Musa Ortaç on Unsplash (https://unsplash.com/photos/a-woman-sitting-on-top-of-a-wooden-bench-wsoITqrMSxE)
https://images.unsplash.com/photo-1762343292182-b0cb71a19111?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5OTUzMzZ8MHwxfHNlYXJjaHwyOHx8bWluaW1hbCUyMG91dGZpdCUyMHN0cmVldCUyMHN0eWxlfGVufDF8MXx8fDE3ODM1ODM5MzJ8MA&ixlib=rb-4.1.0&q=80&w=1080,Two stylish women posing back to back outdoors,minimal,grey,everyday,Zulfugar Karimov on Unsplash (https://unsplash.com/photos/two-stylish-women-posing-back-to-back-outdoors-HezVHD5Va1A)
https://images.unsplash.com/photo-1657697722009-4497fd0c2e14?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5OTUzMzZ8MHwxfHNlYXJjaHwyOXx8bWluaW1hbCUyMG91dGZpdCUyMHN0cmVldCUyMHN0eWxlfGVufDF8MXx8fDE3ODM1ODM5MzJ8MA&ixlib=rb-4.1.0&q=80&w=1080,a woman in a trench coat,minimal,navy,everyday,Lisa Heeke on Unsplash (https://unsplash.com/photos/a-woman-in-a-trench-coat-w4Quk-q747E)
https://images.unsplash.com/photo-1634921276069-c24ba5d6b35c?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5OTUzMzZ8MHwxfHNlYXJjaHwzMHx8bWluaW1hbCUyMG91dGZpdCUyMHN0cmVldCUyMHN0eWxlfGVufDF8MXx8fDE3ODM1ODM5MzJ8MA&ixlib=rb-4.1.0&q=80&w=1080,a man and a woman walking down the street,minimal,navy,everyday,Mikita Yo on Unsplash (https://unsplash.com/photos/a-man-and-a-woman-walking-down-the-street-CawnjUtKGHE)
https://images.unsplash.com/photo-1554117613-6f51683992d9?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5OTUzMzZ8MHwxfHNlYXJjaHwzMXx8bWluaW1hbCUyMG91dGZpdCUyMHN0cmVldCUyMHN0eWxlfGVufDF8MXx8fDE3ODM1ODM5MzN8MA&ixlib=rb-4.1.0&q=80&w=1080,woman holding her sunglasses while sitting near road,minimal,yellow,everyday,Karolis Milišauskas on Unsplash (https://unsplash.com/photos/woman-holding-her-sunglasses-while-sitting-near-road-SZv63QwfrWs)
https://images.unsplash.com/photo-1763766273978-e2d1e15c7a1e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5OTUzMzZ8MHwxfHNlYXJjaHwzMnx8bWluaW1hbCUyMG91dGZpdCUyMHN0cmVldCUyMHN0eWxlfGVufDF8MXx8fDE3ODM1ODM5MzN8MA&ixlib=rb-4.1.0&q=80&w=1080,Woman with gray curly hair walking on street,minimal,white,everyday,Reza Shahriari on Unsplash (https://unsplash.com/photos/woman-with-gray-curly-hair-walking-on-street-WXI58JVd5Tc)
https://images.unsplash.com/photo-1622192727968-14625c8688d3?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5OTUzMzZ8MHwxfHNlYXJjaHwzM3x8bWluaW1hbCUyMG91dGZpdCUyMHN0cmVldCUyMHN0eWxlfGVufDF8MXx8fDE3ODM1ODM5MzN8MA&ixlib=rb-4.1.0&q=80&w=1080,man in white dress shirt and black pants standing on hallway,minimal,navy,everyday,Parsa foroughi on Unsplash (https://unsplash.com/photos/man-in-white-dress-shirt-and-black-pants-standing-on-hallway-Nz93TtvjM5o)
https://images.unsplash.com/photo-1767749854802-db782bfe0857?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5OTUzMzZ8MHwxfHNlYXJjaHwzNHx8bWluaW1hbCUyMG91dGZpdCUyMHN0cmVldCUyMHN0eWxlfGVufDF8MXx8fDE3ODM1ODM5MzN8MA&ixlib=rb-4.1.0&q=80&w=1080,A young woman sitting on outdoor concrete steps.,minimal,beige,everyday,Dina Makhmutova on Unsplash (https://unsplash.com/photos/a-young-woman-sitting-on-outdoor-concrete-steps-G1zNB7w6s5I)
https://images.unsplash.com/photo-1575974112959-63da9f22cb09?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5OTUzMzZ8MHwxfHNlYXJjaHwzNXx8bWluaW1hbCUyMG91dGZpdCUyMHN0cmVldCUyMHN0eWxlfGVufDF8MXx8fDE3ODM1ODM5MzN8MA&ixlib=rb-4.1.0&q=80&w=1080,grayscale photography of man in sweater,minimal,grey,everyday,Xu Duo on Unsplash (https://unsplash.com/photos/grayscale-photography-of-man-in-sweater-earXzt-xN1c)
https://images.unsplash.com/photo-1643106036719-634fe41ecd92?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5OTUzMzZ8MHwxfHNlYXJjaHwzNnx8bWluaW1hbCUyMG91dGZpdCUyMHN0cmVldCUyMHN0eWxlfGVufDF8MXx8fDE3ODM1ODM5MzN8MA&ixlib=rb-4.1.0&q=80&w=1080,a man in a brown coat and white shoes is standing in front of a door,minimal,black,everyday,Rodrigo Sümmer on Unsplash (https://unsplash.com/photos/a-man-in-a-brown-coat-and-white-shoes-is-standing-in-front-of-a-door-s-n0-X6_vCM)
https://images.unsplash.com/photo-1621343342490-b0ab42b7fcdb?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5OTUzMzZ8MHwxfHNlYXJjaHwzN3x8bWluaW1hbCUyMG91dGZpdCUyMHN0cmVldCUyMHN0eWxlfGVufDF8MXx8fDE3ODM1ODM5MzN8MA&ixlib=rb-4.1.0&q=80&w=1080,man in gray blazer and white pants standing beside white concrete post during daytime,minimal,beige,everyday,Rodrigo Sümmer on Unsplash (https://unsplash.com/photos/man-in-gray-blazer-and-white-pants-standing-beside-white-concrete-post-during-daytime-bqvsORpHMeM)
https://images.unsplash.com/photo-1769183960627-05cfc3d713a4?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5OTUzMzZ8MHwxfHNlYXJjaHwzOHx8bWluaW1hbCUyMG91dGZpdCUyMHN0cmVldCUyMHN0eWxlfGVufDF8MXx8fDE3ODM1ODM5MzN8MA&ixlib=rb-4.1.0&q=80&w=1080,Woman in denim jacket and sparkling pants with handbag.,minimal,beige,everyday,Teodora Popa Photographer on Unsplash (https://unsplash.com/photos/woman-in-denim-jacket-and-sparkling-pants-with-handbag-C0WvKDJU798)
https://images.unsplash.com/photo-1762343285593-b67288f08404?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5OTUzMzZ8MHwxfHNlYXJjaHwzOXx8bWluaW1hbCUyMG91dGZpdCUyMHN0cmVldCUyMHN0eWxlfGVufDF8MXx8fDE3ODM1ODM5MzN8MA&ixlib=rb-4.1.0&q=80&w=1080,Woman in white shirt and black shorts with handbag.,minimal,beige,everyday,Zulfugar Karimov on Unsplash (https://unsplash.com/photos/woman-in-white-shirt-and-black-shorts-with-handbag-WnshpKTSKmE)
https://images.unsplash.com/photo-1778516632879-677df1acaf4d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5OTUzMzZ8MHwxfHNlYXJjaHw0MHx8bWluaW1hbCUyMG91dGZpdCUyMHN0cmVldCUyMHN0eWxlfGVufDF8MXx8fDE3ODM1ODM5MzN8MA&ixlib=rb-4.1.0&q=80&w=1080,A young woman in casual clothes poses on stairs.,minimal,white,everyday,sammy swae on Unsplash (https://unsplash.com/photos/a-young-woman-in-casual-clothes-poses-on-stairs-yK7t-fCMYxk)
https://images.unsplash.com/photo-1610453441808-a399e41642aa?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5OTUzMzZ8MHwxfHNlYXJjaHw0MXx8bWluaW1hbCUyMG91dGZpdCUyMHN0cmVldCUyMHN0eWxlfGVufDF8MXx8fDE3ODM1ODM5MzN8MA&ixlib=rb-4.1.0&q=80&w=1080,person in black coat and white pants standing on gray concrete floor,minimal,green,everyday,Diogo Brandao on Unsplash (https://unsplash.com/photos/person-in-black-coat-and-white-pants-standing-on-gray-concrete-floor-K34AeSHy5f0)
https://images.unsplash.com/photo-1675442141162-8dc51f55a43d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5OTUzMzZ8MHwxfHNlYXJjaHw0Mnx8bWluaW1hbCUyMG91dGZpdCUyMHN0cmVldCUyMHN0eWxlfGVufDF8MXx8fDE3ODM1ODM5MzN8MA&ixlib=rb-4.1.0&q=80&w=1080,a man leaning against a wall wearing a denim jacket,minimal,cream,everyday,Farshad Sheikhzadeh on Unsplash (https://unsplash.com/photos/a-man-leaning-against-a-wall-wearing-a-denim-jacket-wJQTYaQyA3c)
https://images.unsplash.com/photo-1636282291107-d4d79d97a509?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5OTUzMzZ8MHwxfHNlYXJjaHw0M3x8bWluaW1hbCUyMG91dGZpdCUyMHN0cmVldCUyMHN0eWxlfGVufDF8MXx8fDE3ODM1ODM5MzN8MA&ixlib=rb-4.1.0&q=80&w=1080,a woman standing on a sidewalk talking on a cell phone,minimal,cream,everyday,Ali Ahmadi on Unsplash (https://unsplash.com/photos/a-woman-standing-on-a-sidewalk-talking-on-a-cell-phone-a9dqCELV5Uc)
https://images.unsplash.com/photo-1760551600960-173d2623e154?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5OTUzMzZ8MHwxfHNlYXJjaHw0NHx8bWluaW1hbCUyMG91dGZpdCUyMHN0cmVldCUyMHN0eWxlfGVufDF8MXx8fDE3ODM1ODM5MzN8MA&ixlib=rb-4.1.0&q=80&w=1080,Woman in sunglasses stands on steps outside building.,minimal,beige,everyday,amin naderloei on Unsplash (https://unsplash.com/photos/woman-in-sunglasses-stands-on-steps-outside-building-QkLcNyCQkxU)
https://images.unsplash.com/photo-1771061083311-9ff2c2894b97?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5OTUzMzZ8MHwxfHNlYXJjaHw0NXx8bWluaW1hbCUyMG91dGZpdCUyMHN0cmVldCUyMHN0eWxlfGVufDF8MXx8fDE3ODM1ODM5MzN8MA&ixlib=rb-4.1.0&q=80&w=1080,Woman walking down a street at sunset,minimal,grey,everyday,Sylvester Sabo on Unsplash (https://unsplash.com/photos/woman-walking-down-a-street-at-sunset-eDMqFvoNUCw)
https://images.unsplash.com/photo-1646514336754-1c3fe17e28c2?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5OTUzMzZ8MHwxfHNlYXJjaHw0Nnx8bWluaW1hbCUyMG91dGZpdCUyMHN0cmVldCUyMHN0eWxlfGVufDF8MXx8fDE3ODM1ODM5MzN8MA&ixlib=rb-4.1.0&q=80&w=1080,a woman wearing a black coat and sunglasses,minimal,green,everyday,omid bonyadian on Unsplash (https://unsplash.com/photos/a-woman-wearing-a-black-coat-and-sunglasses-bVYoJwuUWKI)
https://images.unsplash.com/photo-1656447812554-d91534e00559?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5OTUzMzZ8MHwxfHNlYXJjaHw0N3x8bWluaW1hbCUyMG91dGZpdCUyMHN0cmVldCUyMHN0eWxlfGVufDF8MXx8fDE3ODM1ODM5MzN8MA&ixlib=rb-4.1.0&q=80&w=1080,a person wearing sunglasses and a black jacket,minimal,navy,everyday,samir anwari on Unsplash (https://unsplash.com/photos/a-person-wearing-sunglasses-and-a-black-jacket-1aR0J6qi4Gk)
https://images.unsplash.com/photo-1662011966875-e4678fe1f7c3?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5OTUzMzZ8MHwxfHNlYXJjaHw0OHx8bWluaW1hbCUyMG91dGZpdCUyMHN0cmVldCUyMHN0eWxlfGVufDF8MXx8fDE3ODM1ODM5MzN8MA&ixlib=rb-4.1.0&q=80&w=1080,a man standing outside a building,minimal,navy,everyday,Alireza Zare on Unsplash (https://unsplash.com/photos/a-man-standing-outside-a-building-XdITD0mPU-Y)
https://images.unsplash.com/photo-1700557478366-2000cc1c3d11?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5OTUzMzZ8MHwxfHNlYXJjaHw0OXx8bWluaW1hbCUyMG91dGZpdCUyMHN0cmVldCUyMHN0eWxlfGVufDF8MXx8fDE3ODM1ODM5MzN8MA&ixlib=rb-4.1.0&q=80&w=1080,a woman sitting on the ground with her hands on her face,minimal,beige,everyday,Virginia Marinova on Unsplash (https://unsplash.com/photos/a-woman-sitting-on-the-ground-with-her-hands-on-her-face-0b9RS7Iccos)
